sku;name;category;net_sales;realized_net_sales;product_cogs;shipping_cost;estimated_return_cost;contribution_margin;contribution_margin_pct;units_sold;units_returned;return_rate
SKU-07323;DarkMagenta Inevitable Bottom 7323;Bottoms;53177,4;44494,2;17096,22;2387,53;423,76;24586,69;0,55258191;362;60;0,16574585635359115
SKU-02722;LightGray Famous Shoe 2722;Shoes;38287,5;33784,5;12630,75;2175,1;298,18;18680,47;0,55293019;313;38;0,12140575079872204
SKU-02130;Khaki Useful Dresse 2130;Dresses;74256;60424;23873,44;2440,89;492,69;33616,98;0,55635145;324;62;0,19135802469135801
SKU-07141;SeaGreen Male Outerwear 7141;Outerwear;131290,5;110319;46544,22;2017,98;372,67;61384,13;0,556423916;291;48;0,16494845360824742
SKU-05523;LightSalmon Unable Outerwear 5523;Outerwear;97520,5;82792,5;33865,92;2191,28;400,96;46334,34;0,559644171;341;53;0,15542521994134897
SKU-02680;LightSeaGreen Proper Bag 2680;Bags;103740;86360;35503;2066,56;394,42;48396,02;0,560398564;315;55;0,17460317460317459
SKU-07829;NavajoWhite All Outerwear 7829;Outerwear;98717,5;84598,5;34744,92;1950,08;350,16;47553,34;0,562106184;344;50;0,14534883720930233
SKU-03469;Wheat Firm Dresse 3469;Dresses;70492,8;60421,2;23872,74;2048,86;380,23;34119,37;0,564692029;303;45;0,14851485148514851
SKU-04049;Tomato Glad Bag 4049;Bags;77490;65814;26145,14;2068,18;388,47;37212,21;0,565414805;315;49;0,15555555555555556
SKU-03014;LightSeaGreen Effective Outerwear 3014;Outerwear;134161,5;113943,5;46979,84;1786,04;352,76;64824,86;0,568921088;300;46;0,15333333333333332
SKU-03146;Salmon Psychological Outerwear 3146;Outerwear;112513,5;91255,5;36784,3;1872,27;377,07;52221,86;0,572259864;304;59;0,19407894736842105
SKU-05090;NavajoWhite Common Bag 5090;Bags;56116;49354;18440,12;2338,42;293,61;28281,85;0,573040686;344;42;0,12209302325581395
SKU-07221;LightGreen Successful Outerwear 7221;Outerwear;76912,5;65226;25575,75;1804,84;371,61;37473,8;0,57452243;267;42;0,15730337078651685
SKU-09785;DarkSeaGreen High Shoe 9785;Shoes;94293,5;78589;30464;2261,89;362,58;45500,53;0,578968176;328;56;0,17073170731707318
SKU-05944;CornflowerBlue Similar Shoe 5944;Shoes;95063,5;82180;32093,01;2042,72;324,69;47719,58;0,580671453;326;45;0,13803680981595093
